mmsi,count
235001921,15534
228123800,15395
227913470,15178
219027989,15092
232005410,15065
227913480,15035
219027988,14915
258537000,14896
235089665,14818
228439700,14804
273213790,14803
235001841,14568
228361900,14418
226265000,14280
235114872,14233
228102060,14184
232043227,14121
235050799,14120
235068406,14083
235001318,14082
235005457,14057
228070700,14016
235005118,13776
244938000,13726
244210297,13596
235054653,13567
228383700,13481
235002514,13415
233450000,13324
232047256,13273
232005420,13272
228186700,13250
309536000,13244
227023200,13220
232015630,13208
232627000,13161
228363800,13153
228085700,13081
235090189,13081
227006760,13057
235118074,13031
232003081,13029
228227700,12995
227800940,12982
235053723,12977
232003889,12961
235054161,12955
219297000,12913
232040373,12912
232019192,12891
