file_size_mib,query_family,selectivity_id,selectivity_label,sample_count,p50_latency_ms,p95_latency_ms,ci_95_lower_ms,ci_95_upper_ms,ci_width_ms
8,Q1,0.0001,0.01%,20,102.0118,112.468,95.9582,105.1278,9.1696
8,Q1,0.001,0.1%,20,99.5058,116.0507,93.137,105.2968,12.1598
8,Q1,0.01,1.0%,20,125.3664,136.3551,120.3774,129.2644,8.8871
8,Q1,0.05,5.0%,20,153.1659,167.4013,143.3216,153.9165,10.5948
8,Q1,0.10,10.0%,20,202.3841,230.9825,199.5789,210.0918,10.5129
8,Q1,0.50,50.0%,20,273.1444,356.1668,266.2419,294.188,27.9461
8,Q2,0.0001,0.01%,20,102.5152,111.0515,97.7554,106.2236,8.4682
8,Q2,0.001,0.1%,20,105.4067,119.6316,96.8907,109.3096,12.4189
8,Q2,0.01,1.0%,20,139.5615,172.8383,136.4453,143.4348,6.9894
8,Q2,0.05,5.0%,20,169.7172,198.906,164.4353,178.2953,13.86
8,Q2,0.10,10.0%,20,254.4573,286.0384,246.3185,266.2307,19.9122
8,Q2,0.50,50.0%,20,349.8492,403.219,337.7594,368.7891,31.0296
8,Q3,0.0001,0.01%,20,116.437,131.0255,110.1982,122.1205,11.9223
8,Q3,0.001,0.1%,20,120.0459,158.2979,112.9364,126.3129,13.3765
8,Q3,0.01,1.0%,20,161.8153,185.8226,155.2919,168.4025,13.1107
8,Q3,0.05,5.0%,20,195.36,219.0978,188.4174,201.1016,12.6842
8,Q3,0.10,10.0%,20,311.1678,347.3704,292.9521,323.2591,30.307
8,Q3,0.50,50.0%,20,442.8125,605.3095,423.2529,511.9175,88.6646
16,Q1,0.0001,0.01%,20,129.9263,144.5374,126.8837,134.4302,7.5465
16,Q1,0.001,0.1%,20,131.5638,141.2775,127.7376,134.5041,6.7665
16,Q1,0.01,1.0%,20,137.8624,155.457,131.0436,143.3614,12.3178
16,Q1,0.05,5.0%,20,193.403,206.9483,188.3571,199.1788,10.8218
16,Q1,0.10,10.0%,20,298.6634,338.5221,291.7749,306.9328,15.1579
16,Q1,0.50,50.0%,20,417.3877,471.6009,405.1557,435.432,30.2763
16,Q2,0.0001,0.01%,20,141.2178,156.7267,139.0205,145.8827,6.8621
16,Q2,0.001,0.1%,20,149.6507,170.6243,140.1412,153.2739,13.1327
16,Q2,0.01,1.0%,20,160.5455,182.8152,147.5802,167.1219,19.5417
16,Q2,0.05,5.0%,20,223.8497,244.9403,215.9129,231.8773,15.9645
16,Q2,0.10,10.0%,20,388.6416,428.6489,379.3963,399.2888,19.8925
16,Q2,0.50,50.0%,20,557.2329,586.2899,542.3603,568.8301,26.4697
16,Q3,0.0001,0.01%,20,154.1769,208.3164,150.3349,163.2108,12.8759
16,Q3,0.001,0.1%,20,161.1613,175.3102,155.0821,167.1128,12.0307
16,Q3,0.01,1.0%,20,178.3344,228.2537,173.5005,189.6196,16.1191
16,Q3,0.05,5.0%,20,251.8126,282.2391,245.4864,262.8694,17.383
16,Q3,0.10,10.0%,20,418.4701,464.6108,407.9227,433.2794,25.3567
16,Q3,0.50,50.0%,20,611.8865,681.7054,593.367,660.9027,67.5357
32,Q1,0.0001,0.01%,20,145.0181,165.9544,139.2006,153.2758,14.0752
32,Q1,0.001,0.1%,20,146.2263,172.3299,141.8881,152.3107,10.4226
32,Q1,0.01,1.0%,20,169.6409,208.6974,165.916,184.5108,18.5948
32,Q1,0.05,5.0%,20,215.5692,231.8232,211.2129,221.3816,10.1687
32,Q1,0.10,10.0%,20,319.2461,339.3955,313.8865,323.0358,9.1493
32,Q1,0.50,50.0%,20,444.7824,476.1798,427.2147,466.9723,39.7576
32,Q2,0.0001,0.01%,20,150.0855,166.7876,143.8349,155.5101,11.6751
32,Q2,0.001,0.1%,20,152.3947,171.523,146.7886,158.1966,11.408
