file_size_mib,query_family,selectivity_id,selectivity_label,sample_count,median_delta_ms,ci_95_lower_ms,ci_95_upper_ms,ci_width_ms,ci_includes_zero,is_statistically_significant,direction
8,Q1,0.0001,0.01%,20,-42.5073,-52.6189,-37.2394,15.3795,False,True,faster_than_32
8,Q1,0.001,0.1%,20,-50.3925,-55.6983,-38.908,16.7903,False,True,faster_than_32
8,Q1,0.01,1.0%,20,-49.2636,-57.0056,-35.1887,21.8169,False,True,faster_than_32
8,Q1,0.05,5.0%,20,-66.8684,-72.1908,-56.8549,15.3359,False,True,faster_than_32
8,Q1,0.10,10.0%,20,-114.4685,-121.8179,-103.4077,18.4102,False,True,faster_than_32
8,Q1,0.50,50.0%,20,-157.3871,-175.2969,-148.9522,26.3447,False,True,faster_than_32
8,Q2,0.0001,0.01%,20,-48.91,-55.097,-44.179,10.9181,False,True,faster_than_32
8,Q2,0.001,0.1%,20,-50.9836,-55.8161,-45.5345,10.2816,False,True,faster_than_32
8,Q2,0.01,1.0%,20,-49.4949,-53.3567,-41.3313,12.0254,False,True,faster_than_32
8,Q2,0.05,5.0%,20,-80.1649,-87.9745,-73.514,14.4605,False,True,faster_than_32
8,Q2,0.10,10.0%,20,-149.6719,-168.0293,-130.4728,37.5565,False,True,faster_than_32
8,Q2,0.50,50.0%,20,-218.8732,-232.2586,-189.1875,43.0711,False,True,faster_than_32
8,Q3,0.0001,0.01%,20,-57.3135,-63.5652,-48.5392,15.026,False,True,faster_than_32
8,Q3,0.001,0.1%,20,-54.0495,-63.2584,-48.0948,15.1636,False,True,faster_than_32
8,Q3,0.01,1.0%,20,-48.3285,-53.4093,-36.8697,16.5396,False,True,faster_than_32
8,Q3,0.05,5.0%,20,-87.5121,-93.4367,-75.7284,17.7083,False,True,faster_than_32
8,Q3,0.10,10.0%,20,-138.3851,-153.4778,-114.2886,39.1893,False,True,faster_than_32
8,Q3,0.50,50.0%,20,-177.3618,-192.9025,-126.5746,66.3279,False,True,faster_than_32
16,Q1,0.0001,0.01%,20,-12.4943,-22.5873,-10.6058,11.9815,False,True,faster_than_32
16,Q1,0.001,0.1%,20,-17.7586,-21.7888,-9.5938,12.195,False,True,faster_than_32
16,Q1,0.01,1.0%,20,-40.1159,-45.0218,-30.6424,14.3794,False,True,faster_than_32
16,Q1,0.05,5.0%,20,-23.6502,-30.442,-14.3008,16.1413,False,True,faster_than_32
16,Q1,0.10,10.0%,20,-21.7619,-26.7989,-6.0492,20.7497,False,True,faster_than_32
16,Q1,0.50,50.0%,20,-23.2019,-36.3171,-8.2698,28.0473,False,True,faster_than_32
16,Q2,0.0001,0.01%,20,-5.0065,-16.295,3.6192,19.9142,True,False,neutral
16,Q2,0.001,0.1%,20,-4.6118,-9.321,0.2504,9.5714,True,False,neutral
16,Q2,0.01,1.0%,20,-32.8389,-36.4792,-25.2482,11.2309,False,True,faster_than_32
16,Q2,0.05,5.0%,20,-31.8004,-38.7795,-21.8212,16.9582,False,True,faster_than_32
16,Q2,0.10,10.0%,20,-19.1047,-34.435,8.6221,43.0571,True,False,neutral
16,Q2,0.50,50.0%,20,-9.6207,-20.4235,3.138,23.5615,True,False,neutral
16,Q3,0.0001,0.01%,20,-7.306,-19.6677,-1.555,18.1127,False,True,faster_than_32
16,Q3,0.001,0.1%,20,-13.5447,-15.4371,-10.3196,5.1175,False,True,faster_than_32
16,Q3,0.01,1.0%,20,-26.2659,-37.9113,-20.6456,17.2657,False,True,faster_than_32
16,Q3,0.05,5.0%,20,-31.7611,-40.5765,-9.8405,30.736,False,True,faster_than_32
16,Q3,0.10,10.0%,20,-27.0383,-39.7323,-14.0381,25.6942,False,True,faster_than_32
16,Q3,0.50,50.0%,20,-0.296,-30.4177,26.2363,56.654,True,False,neutral
64,Q1,0.0001,0.01%,20,16.8518,5.4271,23.1473,17.7202,False,True,slower_than_32
64,Q1,0.001,0.1%,20,18.5088,12.9367,26.1424,13.2057,False,True,slower_than_32
64,Q1,0.01,1.0%,20,-5.7429,-12.5365,1.1151,13.6515,True,False,neutral
64,Q1,0.05,5.0%,20,12.1412,3.8114,25.9652,22.1538,False,True,slower_than_32
64,Q1,0.10,10.0%,20,28.9374,24.8953,35.6503,10.755,False,True,slower_than_32
64,Q1,0.50,50.0%,20,-18.1242,-30.4587,10.2864,40.745,True,False,neutral
64,Q2,0.0001,0.01%,20,34.5339,25.7008,40.257,14.5562,False,True,slower_than_32
64,Q2,0.001,0.1%,20,36.4992,29.3197,42.4933,13.1736,False,True,slower_than_32
64,Q2,0.01,1.0%,20,-5.0046,-8.1874,3.2202,11.4076,True,False,neutral
64,Q2,0.05,5.0%,20,-1.4775,-9.9896,16.5801,26.5697,True,False,neutral
64,Q2,0.10,10.0%,20,22.2572,-2.1917,25.7656,27.9573,True,False,neutral
64,Q2,0.50,50.0%,20,-28.4991,-38.8503,1.5761,40.4264,True,False,neutral
64,Q3,0.0001,0.01%,20,35.5995,19.4927,42.6717,23.179,False,True,slower_than_32
64,Q3,0.001,0.1%,20,34.2743,21.9786,44.2685,22.2899,False,True,slower_than_32
64,Q3,0.01,1.0%,20,16.3869,9.918,24.9212,15.0032,False,True,slower_than_32
64,Q3,0.05,5.0%,20,29.4195,19.0074,39.9307,20.9233,False,True,slower_than_32
64,Q3,0.10,10.0%,20,26.8529,7.1788,52.9427,45.7639,False,True,slower_than_32
64,Q3,0.50,50.0%,20,6.2617,-28.2454,19.4701,47.7154,True,False,neutral
