file_size_mib,query_family,selectivity,target_p50_ms,baseline_p50_ms,speedup_ratio,median_delta_ms,ci_95_interval,statistically_significant,status
8,Q1,0.01%,102.0118,145.0181,1.422,-42.5073,"[-52.62, -37.24]",YES,FASTER_THAN_32
8,Q1,0.1%,99.5058,146.2263,1.47,-50.3925,"[-55.70, -38.91]",YES,FASTER_THAN_32
8,Q1,1.0%,125.3664,169.6409,1.353,-49.2636,"[-57.01, -35.19]",YES,FASTER_THAN_32
8,Q1,5.0%,153.1659,215.5692,1.407,-66.8684,"[-72.19, -56.85]",YES,FASTER_THAN_32
8,Q1,10.0%,202.3841,319.2461,1.577,-114.4685,"[-121.82, -103.41]",YES,FASTER_THAN_32
8,Q1,50.0%,273.1444,444.7824,1.628,-157.3871,"[-175.30, -148.95]",YES,FASTER_THAN_32
8,Q2,0.01%,102.5152,150.0855,1.464,-48.91,"[-55.10, -44.18]",YES,FASTER_THAN_32
8,Q2,0.1%,105.4067,152.3947,1.446,-50.9836,"[-55.82, -45.53]",YES,FASTER_THAN_32
8,Q2,1.0%,139.5615,189.5077,1.358,-49.4949,"[-53.36, -41.33]",YES,FASTER_THAN_32
8,Q2,5.0%,169.7172,248.8188,1.466,-80.1649,"[-87.97, -73.51]",YES,FASTER_THAN_32
8,Q2,10.0%,254.4573,406.028,1.596,-149.6719,"[-168.03, -130.47]",YES,FASTER_THAN_32
8,Q2,50.0%,349.8492,570.0017,1.629,-218.8732,"[-232.26, -189.19]",YES,FASTER_THAN_32
8,Q3,0.01%,116.437,168.506,1.447,-57.3135,"[-63.57, -48.54]",YES,FASTER_THAN_32
8,Q3,0.1%,120.0459,176.0535,1.467,-54.0495,"[-63.26, -48.09]",YES,FASTER_THAN_32
8,Q3,1.0%,161.8153,209.3577,1.294,-48.3285,"[-53.41, -36.87]",YES,FASTER_THAN_32
8,Q3,5.0%,195.36,277.5843,1.421,-87.5121,"[-93.44, -75.73]",YES,FASTER_THAN_32
8,Q3,10.0%,311.1678,441.2023,1.418,-138.3851,"[-153.48, -114.29]",YES,FASTER_THAN_32
8,Q3,50.0%,442.8125,619.4669,1.399,-177.3618,"[-192.90, -126.57]",YES,FASTER_THAN_32
16,Q1,0.01%,129.9263,145.0181,1.116,-12.4943,"[-22.59, -10.61]",YES,FASTER_THAN_32
16,Q1,0.1%,131.5638,146.2263,1.111,-17.7586,"[-21.79, -9.59]",YES,FASTER_THAN_32
16,Q1,1.0%,137.8624,169.6409,1.231,-40.1159,"[-45.02, -30.64]",YES,FASTER_THAN_32
16,Q1,5.0%,193.403,215.5692,1.115,-23.6502,"[-30.44, -14.30]",YES,FASTER_THAN_32
16,Q1,10.0%,298.6634,319.2461,1.069,-21.7619,"[-26.80, -6.05]",YES,FASTER_THAN_32
16,Q1,50.0%,417.3877,444.7824,1.066,-23.2019,"[-36.32, -8.27]",YES,FASTER_THAN_32
16,Q2,0.01%,141.2178,150.0855,1.063,-5.0065,"[-16.30, 3.62]",NO,NEUTRAL
16,Q2,0.1%,149.6507,152.3947,1.018,-4.6118,"[-9.32, 0.25]",NO,NEUTRAL
16,Q2,1.0%,160.5455,189.5077,1.18,-32.8389,"[-36.48, -25.25]",YES,FASTER_THAN_32
16,Q2,5.0%,223.8497,248.8188,1.112,-31.8004,"[-38.78, -21.82]",YES,FASTER_THAN_32
16,Q2,10.0%,388.6416,406.028,1.045,-19.1047,"[-34.44, 8.62]",NO,NEUTRAL
16,Q2,50.0%,557.2329,570.0017,1.023,-9.6207,"[-20.42, 3.14]",NO,NEUTRAL
16,Q3,0.01%,154.1769,168.506,1.093,-7.306,"[-19.67, -1.55]",YES,FASTER_THAN_32
16,Q3,0.1%,161.1613,176.0535,1.092,-13.5447,"[-15.44, -10.32]",YES,FASTER_THAN_32
16,Q3,1.0%,178.3344,209.3577,1.174,-26.2659,"[-37.91, -20.65]",YES,FASTER_THAN_32
16,Q3,5.0%,251.8126,277.5843,1.102,-31.7611,"[-40.58, -9.84]",YES,FASTER_THAN_32
16,Q3,10.0%,418.4701,441.2023,1.054,-27.0383,"[-39.73, -14.04]",YES,FASTER_THAN_32
