file_size_mib,query_family,selectivity_id,n_blocks,mean_delta_ms,median_delta_ms,std_delta_ms,p5_delta_ms,p95_delta_ms,pct_negative,dominant_sign
8,Q1,0.0001,20,-44.8852,-42.5073,15.4688,-70.6193,-23.4469,100.0,negative
8,Q1,0.001,20,-48.3717,-50.3925,14.1719,-72.5634,-25.5414,100.0,negative
8,Q1,0.01,20,-49.9018,-49.2636,20.0309,-82.9566,-28.8942,100.0,negative
8,Q1,0.05,20,-66.9618,-66.8684,13.8955,-88.3312,-47.3776,100.0,negative
8,Q1,0.10,20,-112.1309,-114.4685,17.9026,-138.2736,-82.2892,100.0,negative
8,Q1,0.50,20,-156.8169,-157.3871,42.6184,-207.0115,-73.4602,100.0,negative
8,Q2,0.0001,20,-49.5004,-48.91,14.6065,-76.7405,-32.0041,100.0,negative
8,Q2,0.001,20,-49.1649,-50.9836,12.2369,-65.0097,-28.2664,100.0,negative
8,Q2,0.01,20,-51.1684,-49.4949,18.5841,-73.289,-30.105,100.0,negative
8,Q2,0.05,20,-81.5954,-80.1649,17.9113,-110.9928,-53.772,100.0,negative
8,Q2,0.10,20,-154.6261,-149.6719,30.7464,-216.1207,-123.5232,100.0,negative
8,Q2,0.50,20,-217.5958,-218.8732,43.2486,-282.4961,-164.5875,100.0,negative
8,Q3,0.0001,20,-55.6796,-57.3135,18.3335,-81.7507,-23.0422,100.0,negative
8,Q3,0.001,20,-53.3333,-54.0495,23.511,-84.0606,-6.8906,95.0,negative
8,Q3,0.01,20,-45.4537,-48.3285,14.0985,-64.0646,-30.1426,100.0,negative
8,Q3,0.05,20,-83.4459,-87.5121,14.2224,-101.4014,-59.8532,100.0,negative
8,Q3,0.10,20,-134.6319,-138.3851,30.5863,-182.7242,-92.5292,100.0,negative
8,Q3,0.50,20,-160.0273,-177.3618,82.0689,-309.6467,-21.9789,95.0,negative
16,Q1,0.0001,20,-15.3999,-12.4943,13.7537,-39.62,4.0884,90.0,negative
16,Q1,0.001,20,-17.871,-17.7586,12.6528,-40.0773,2.3139,90.0,negative
16,Q1,0.01,20,-38.2621,-40.1159,19.6347,-64.6111,-4.9288,95.0,negative
16,Q1,0.05,20,-22.6798,-23.6502,22.6629,-59.166,-1.0746,95.0,negative
16,Q1,0.10,20,-15.3843,-21.7619,20.5469,-35.9553,12.723,85.0,negative
16,Q1,0.50,20,-24.1065,-23.2019,24.7137,-70.4551,11.4701,85.0,negative
16,Q2,0.0001,20,-8.2396,-5.0065,16.2001,-30.3816,9.9038,65.0,negative
16,Q2,0.001,20,-3.8513,-4.6118,14.1367,-22.4137,17.9523,70.0,negative
16,Q2,0.01,20,-33.9433,-32.8389,19.954,-59.5225,-8.1571,100.0,negative
16,Q2,0.05,20,-30.1527,-31.8004,17.35,-54.4986,-7.2107,95.0,negative
16,Q2,0.10,20,-15.0456,-19.1047,35.4859,-74.9883,40.7572,65.0,negative
16,Q2,0.50,20,-17.503,-9.6207,31.1775,-86.5743,14.6398,65.0,negative
16,Q3,0.0001,20,-10.5382,-7.306,20.5698,-38.6456,5.1011,75.0,negative
16,Q3,0.001,20,-12.4618,-13.5447,17.476,-30.2716,11.3546,90.0,negative
16,Q3,0.01,20,-24.0733,-26.2659,24.4587,-49.6693,24.0261,90.0,negative
16,Q3,0.05,20,-24.0897,-31.7611,26.2995,-55.535,20.9794,75.0,negative
16,Q3,0.10,20,-13.1124,-27.0383,40.2171,-47.1336,48.5644,75.0,negative
16,Q3,0.50,20,-8.1202,-0.296,65.0875,-134.7464,76.1845,50.0,tie
64,Q1,0.0001,20,16.7699,16.8518,13.8033,-0.8451,40.7342,10.0,positive
64,Q1,0.001,20,19.1618,18.5088,12.1655,0.978,39.4092,5.0,positive
64,Q1,0.01,20,-6.0188,-5.7429,19.1439,-36.4381,13.3301,65.0,negative
64,Q1,0.05,20,16.8621,12.1412,17.4579,-2.5599,46.2618,25.0,positive
64,Q1,0.10,20,32.0572,28.9374,21.2686,-0.9532,68.7909,10.0,positive
64,Q1,0.50,20,-12.0848,-18.1242,30.6837,-51.1698,33.4045,60.0,negative
64,Q2,0.0001,20,31.7597,34.5339,14.6463,7.781,54.2047,5.0,positive
64,Q2,0.001,20,35.8508,36.4992,11.4464,19.5518,53.6259,0.0,positive
64,Q2,0.01,20,-2.7531,-5.0046,20.3588,-18.6329,31.1633,60.0,negative
64,Q2,0.05,20,3.244,-1.4775,22.0351,-32.826,33.005,55.0,negative
64,Q2,0.10,20,10.8186,22.2572,30.3335,-46.3094,58.3901,35.0,positive
64,Q2,0.50,20,-14.0193,-28.4991,56.1757,-94.1347,74.0893,70.0,negative
64,Q3,0.0001,20,32.9415,35.5995,18.9494,7.6449,57.0999,0.0,positive
64,Q3,0.001,20,33.6146,34.2743,17.5881,7.1936,59.6787,5.0,positive
64,Q3,0.01,20,17.0794,16.3869,17.5284,-8.3022,43.4479,20.0,positive
64,Q3,0.05,20,32.0807,29.4195,23.6695,1.1812,75.2554,5.0,positive
64,Q3,0.10,20,29.5058,26.8529,35.4215,-26.1558,81.9248,25.0,positive
64,Q3,0.50,20,-10.4542,6.2617,66.3692,-157.7433,64.1973,45.0,positive
