file_size_mib,query_family,selectivity_id,block_index,latency_x_ms,latency_baseline_ms,delta_ms
8,Q1,0.0001,2,112.1875,161.2093,-49.0218
8,Q1,0.0001,3,110.2576,170.8333,-60.5757
8,Q1,0.0001,4,104.8733,144.1346,-39.2613
8,Q1,0.0001,5,105.3824,153.2758,-47.8934
8,Q1,0.0001,6,90.7831,151.543,-60.7599
8,Q1,0.0001,7,109.2489,145.9015,-36.6526
8,Q1,0.0001,8,117.7971,141.6397,-23.8426
8,Q1,0.0001,9,104.8013,140.5127,-35.7114
8,Q1,0.0001,10,90.4815,165.6976,-75.2161
8,Q1,0.0001,11,101.1531,126.8893,-25.7362
8,Q1,0.0001,12,102.8705,151.9614,-49.0909
8,Q1,0.0001,13,95.9795,137.8885,-41.909
8,Q1,0.0001,14,100.7467,143.8523,-43.1056
8,Q1,0.0001,15,93.1237,157.2805,-64.1568
8,Q1,0.0001,16,104.2608,130.7637,-26.5029
8,Q1,0.0001,17,94.279,146.8979,-52.6189
8,Q1,0.0001,18,86.8472,157.2246,-70.3774
8,Q1,0.0001,19,89.5295,131.0456,-41.5161
8,Q1,0.0001,20,99.6883,137.5144,-37.8261
8,Q1,0.0001,21,110.9022,126.8317,-15.9295
8,Q1,0.001,2,115.0482,165.1103,-50.0621
8,Q1,0.001,3,101.0105,173.5634,-72.5529
8,Q1,0.001,4,116.3966,142.1761,-25.7795
8,Q1,0.001,5,92.641,147.9896,-55.3486
8,Q1,0.001,6,93.633,157.1488,-63.5158
8,Q1,0.001,7,106.6823,140.7366,-34.0543
8,Q1,0.001,8,99.5015,172.265,-72.7635
8,Q1,0.001,9,116.0325,147.7645,-31.732
8,Q1,0.001,10,99.5102,145.8242,-46.314
8,Q1,0.001,11,114.1896,135.2069,-21.0173
8,Q1,0.001,12,91.4974,156.9338,-65.4364
8,Q1,0.001,13,99.1998,138.6708,-39.471
8,Q1,0.001,14,94.9143,145.6373,-50.723
8,Q1,0.001,15,88.9795,141.6002,-52.6207
8,Q1,0.001,16,88.9712,142.9374,-53.9662
8,Q1,0.001,17,89.8451,146.6284,-56.7833
8,Q1,0.001,18,100.5839,156.6318,-56.0479
8,Q1,0.001,19,103.9112,140.4585,-36.5473
8,Q1,0.001,20,89.1807,133.5333,-44.3526
8,Q1,0.001,21,109.4192,147.7642,-38.345
8,Q1,0.01,2,129.2839,185.5786,-56.2947
8,Q1,0.01,3,135.6788,193.3953,-57.7165
8,Q1,0.01,4,127.2014,226.9477,-99.7463
8,Q1,0.01,5,135.1828,166.028,-30.8452
8,Q1,0.01,6,127.7448,166.5846,-38.8398
8,Q1,0.01,7,121.0864,174.7215,-53.6351
8,Q1,0.01,8,121.0113,165.916,-44.9047
8,Q1,0.01,9,117.4841,184.8337,-67.3496
8,Q1,0.01,10,149.2048,161.6605,-12.4557
8,Q1,0.01,11,119.8812,168.0964,-48.2152
8,Q1,0.01,12,125.664,207.7369,-82.0729
8,Q1,0.01,13,134.8616,168.0927,-33.2311
8,Q1,0.01,14,129.245,159.0044,-29.7594
8,Q1,0.01,15,115.5415,184.1879,-68.6464
8,Q1,0.01,16,117.8554,185.0613,-67.2059
8,Q1,0.01,17,125.0688,161.951,-36.8822
8,Q1,0.01,18,119.0884,174.6854,-55.597
8,Q1,0.01,19,120.8735,171.1854,-50.3119
8,Q1,0.01,20,133.0397,163.8703,-30.8306
8,Q1,0.01,21,119.0208,152.5161,-33.4953
8,Q1,0.05,2,153.698,225.3247,-71.6267
8,Q1,0.05,3,158.4071,256.0284,-97.6213
8,Q1,0.05,4,167.3844,230.5492,-63.1648
8,Q1,0.05,5,151.6205,206.4616,-54.8411
8,Q1,0.05,6,167.7216,212.2282,-44.5066
8,Q1,0.05,7,150.3476,220.0841,-69.7365
8,Q1,0.05,8,153.5327,204.0652,-50.5325
8,Q1,0.05,9,152.7991,225.5539,-72.7548
8,Q1,0.05,10,137.3908,219.1703,-81.7795
8,Q1,0.05,11,160.1499,215.2073,-55.0574
8,Q1,0.05,12,154.443,201.9717,-47.5287
8,Q1,0.05,13,153.8944,215.9312,-62.0368
8,Q1,0.05,14,136.519,213.9785,-77.4595
8,Q1,0.05,15,134.0669,220.8612,-86.7943
8,Q1,0.05,16,139.2679,205.0413,-65.7734
8,Q1,0.05,17,153.5704,212.4391,-58.8687
8,Q1,0.05,18,145.072,199.7939,-54.7219
8,Q1,0.05,19,135.3592,223.2015,-87.8423
8,Q1,0.05,20,141.5713,210.1976,-68.6263
8,Q1,0.05,21,153.9385,221.902,-67.9635
8,Q1,0.10,2,225.8399,339.6893,-113.8494
8,Q1,0.10,3,202.5189,321.3293,-118.8104
8,Q1,0.10,4,205.5811,314.5481,-108.967
8,Q1,0.10,5,198.4009,315.6058,-117.2049
8,Q1,0.10,6,226.5176,314.6503,-88.1327
8,Q1,0.10,7,194.2956,327.917,-133.6214
8,Q1,0.10,8,200.9599,309.7367,-108.7768
8,Q1,0.10,9,196.136,339.38,-143.244
8,Q1,0.10,10,234.2787,328.1614,-93.8827
8,Q1,0.10,11,230.809,313.2249,-82.4159
8,Q1,0.10,12,198.483,323.3084,-124.8254
8,Q1,0.10,13,210.0372,289.9195,-79.8823
8,Q1,0.10,14,207.6531,322.7633,-115.1102
8,Q1,0.10,15,202.2492,317.3367,-115.0875
8,Q1,0.10,16,200.6748,338.6868,-138.012
8,Q1,0.10,17,189.4925,321.1555,-131.663
8,Q1,0.10,18,192.3688,321.2592,-128.8904
8,Q1,0.10,19,210.1464,309.0417,-98.8953
8,Q1,0.10,20,215.0331,308.4595,-93.4264
8,Q1,0.10,21,201.3995,309.3197,-107.9202
8,Q1,0.50,2,347.571,478.5418,-130.9708
8,Q1,0.50,3,321.9741,470.6155,-148.6414
8,Q1,0.50,4,267.3027,422.6446,-155.3419
8,Q1,0.50,5,270.3497,443.5336,-173.1839
8,Q1,0.50,6,262.0265,476.0555,-214.029
8,Q1,0.50,7,245.1541,422.5639,-177.4098
8,Q1,0.50,8,352.2423,428.1006,-75.8583
8,Q1,0.50,9,257.7689,443.043,-185.2741
8,Q1,0.50,10,305.4398,455.7765,-150.3367
8,Q1,0.50,11,267.5253,468.9003,-201.375
8,Q1,0.50,12,323.5685,472.8314,-149.2629
8,Q1,0.50,13,282.9362,418.6888,-135.7526
8,Q1,0.50,14,277.3345,446.0313,-168.6968
8,Q1,0.50,15,260.6402,465.0443,-204.4041
8,Q1,0.50,16,277.5577,425.3815,-147.8238
8,Q1,0.50,17,430.7325,458.6288,-27.8963
8,Q1,0.50,18,264.9584,471.6006,-206.6422
8,Q1,0.50,19,269.7819,426.3287,-156.5468
8,Q1,0.50,20,252.7459,421.4093,-168.6634
8,Q1,0.50,21,275.9391,434.1666,-158.2275
8,Q2,0.0001,2,110.2306,155.9477,-45.7171
8,Q2,0.0001,3,108.3982,165.4138,-57.0156
8,Q2,0.0001,4,102.8568,159.0104,-56.1536
8,Q2,0.0001,5,102.1736,157.4149,-55.2413
8,Q2,0.0001,6,126.6488,149.1345,-22.4857
8,Q2,0.0001,7,96.7223,146.8913,-50.169
8,Q2,0.0001,8,107.5268,154.7565,-47.2297
8,Q2,0.0001,9,96.8807,134.9826,-38.1019
8,Q2,0.0001,10,109.6649,145.5241,-35.8592
8,Q2,0.0001,11,109.4502,141.9553,-32.5051
